STATE/UT,DISTRICT,YEAR,crime_type,crime_count,Region
ARUNACHAL PRADESH,SIANG WEST,2001,OTHER THEFT,71,East
ARUNACHAL PRADESH,SIANG WEST,2001,RIOTS,2,East
ARUNACHAL PRADESH,SIANG WEST,2001,CRIMINAL BREACH OF TRUST,5,East
ARUNACHAL PRADESH,SIANG WEST,2001,CHEATING,5,East
ARUNACHAL PRADESH,SIANG WEST,2001,COUNTERFIETING,0,East
ARUNACHAL PRADESH,SIANG WEST,2001,ARSON,3,East
ARUNACHAL PRADESH,SIANG WEST,2001,HURT/GREVIOUS HURT,71,East
ARUNACHAL PRADESH,SIANG WEST,2001,DOWRY DEATHS,0,East
ARUNACHAL PRADESH,SIANG WEST,2001,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,25,East
ARUNACHAL PRADESH,SIANG WEST,2001,INSULT TO MODESTY OF WOMEN,2,East
ARUNACHAL PRADESH,SIANG WEST,2001,CRUELTY BY HUSBAND OR HIS RELATIVES,2,East
ARUNACHAL PRADESH,SIANG WEST,2001,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0,East
ARUNACHAL PRADESH,SIANG WEST,2001,CAUSING DEATH BY NEGLIGENCE,0,East
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,MURDER,8,East
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,ATTEMPT TO MURDER,10,East
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,1,East
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,RAPE,2,East
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,CUSTODIAL RAPE,0,East
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,OTHER RAPE,2,East
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,KIDNAPPING & ABDUCTION,6,East
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,5,East
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,KIDNAPPING AND ABDUCTION OF OTHERS,1,East
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,DACOITY,1,East
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,PREPARATION AND ASSEMBLY FOR DACOITY,0,East
